construction,quantity,mean,ci_lo,ci_hi
geometry,KSG MI iso (nats),0.5476401820963095,0.5170960667463662,0.5849600084292469
geometry,KSG MI anisotropic (nats),4.653130485987589e-06,0.0,3.365822857259722e-05
geometry,KSG drift (aniso-iso),-0.5476355289658235,-0.5849584768213831,-0.5170960667463663
geometry,probe R2 iso,0.9895874253867849,0.9878752510004198,0.9908429801655336
geometry,probe R2 anisotropic,0.9896150895140537,0.987797286832677,0.9911876207337955
leakage,frame-split R2,0.18106492495494633,0.04830481722520439,0.3464718486137874
leakage,group-split R2,-0.5046083928965994,-1.034157372821855,-0.146218683694804
leakage,gap (frame-group),0.6856733178515457,0.32448838392967044,1.1800384002267015
power,"raw-input R2, 6 groups",-0.4188704758974154,-6.0610010796556475,0.908541812507171
power,"raw-input R2, 80 groups",0.6459621332043212,0.4093670116697082,0.7946054617057131
